src_oui,src_mac,src2dst_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_total_packets,src2dst_total_duration_ms,src2dst_total_bytes,src2dst_stdev_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,src2dst_last_seen_time_ms,src2dst_first_seen_time_ms,protocol,dst_oui,dst_mac,dst2src_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_total_packets,dst2src_total_duration_ms,dst2src_total_bytes,dst2src_stdev_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,dst2src_last_seen_time_ms,dst2src_first_seen_time_ms,bidirectional_transmission_rate_ms,bidirectional_transmission_rate_byte_ms,bidirectional_total_packets,bidirectional_total_duration_ms,bidirectional_total_bytes,bidirectional_stdev_ps,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,label
0x3990,0x3990,0.0011050182190996,0.1376536981506996,14,12669.474365234377,1744.0,0.9035079029052512,124.0,124.57142857142856,126.0,1652455492278.381,1652455479608.907,z,0x02b0,0x02b0,0.0010261146446859,0.1322109253729951,13,12669.149658203123,1675.0,2.769230769230769,127.0,128.84615384615384,133.0,1652455492278.843,1652455479609.6934,0.0021310289116757,0.269851401815529,27,12669.93603515625,3419.0,2.955538377452019,124.0,126.73076923076924,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455484178.0369,1652455484178.0369,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0011773444662136,0.146697120490226,10,8493.69091796875,1246.0,0.916515138991168,124.0,124.6,126.0,1652455590581.5093,1652455582087.8184,z,0x02b0,0x02b0,0.0012950580669246,0.1665915604271231,11,8493.82763671875,1415.0,2.67217062849074,127.0,128.63636363636363,133.0,1652455590582.1855,1652455582088.358,0.0024722265398301,0.3132664201184792,21,8494.3671875,2661.0,2.854965226807673,124.0,126.5909090909091,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455589921.785,1652455589921.785,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.001105723767203,0.1377415892858637,14,12661.39013671875,1744.0,0.9035079029052512,124.0,124.57142857142856,126.0,1652455672161.55,1652455659500.16,z,0x02b0,0x02b0,0.0009478070728984,0.1222671124038986,12,12660.804443359377,1548.0,2.8284271247461903,127.0,129.0,133.0,1652455672162.2537,1652455659501.4492,0.0020533728870867,0.2599885978572857,26,12662.09375,3292.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455665357.923,1652455665357.923,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.0011809843868155,0.1471506545972138,10,8467.512451171875,1246.0,0.916515138991168,124.0,124.6,126.0,1652455709849.9065,1652455701382.394,z,0x02b0,0x02b0,0.0010628832819566,0.137111943372402,9,8467.53369140625,1161.0,2.8284271247461903,127.0,129.0,133.0,1652455709850.6008,1652455701383.0671,0.0022436863526906,0.2842396342592893,19,8468.206787109375,2407.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455710802.517,1652455710802.517,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
0x3990,0x3990,0.001178948085873,0.1466611418826028,10,8482.1376953125,1244.0,1.2,122.0,124.4,126.0,1652455184636.7676,1652455176154.63,z,0x02b0,0x02b0,0.0010610816804351,0.1368795367761342,9,8481.91064453125,1161.0,2.8284271247461903,127.0,129.0,133.0,1652455184637.1797,1652455176155.269,0.0022398925367347,0.2835232395182619,19,8482.5498046875,2405.0,3.023059524536176,124.0,126.83333333333331,133.0,smart_bridge
0x02b0,0x02b0,1.0,124.0,1,0.0,124.0,0.0,124.0,124.0,124.0,1652455182054.682,1652455182054.682,z,0xffff,0xffff,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,smart_bulb
